== apple-macos-26.5-2x-dark-standard / webgpu  fixtures=/Users/new/Developer/GitHub/designer/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w23/g0/ladder/dark-levelgain-2x/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
dark-solid__capsule-button__rest             calibration  0.0110  0.0118 | +0.0204 +0.0204     -       -   | +0.0244 +0.0244     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.1074  0.0685 | +0.0982 +0.1040     -       -   | +0.0539 +0.0539     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0067  0.0034 | +0.0159 +0.0161     -       -   | +0.0244 +0.0244     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.0966  0.0527 | +0.0758 +0.0754     -       -   | +0.0400 +0.0399     -       -   |  0.00  0.00   -     -  
dark-solid__rrect-md__rest                   calibration  0.0153  0.0130 | +0.0255 +0.0255 +0.0256 +0.0256 | +0.0430 +0.0430 +0.0430 +0.0430 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.0475  0.0478 | +0.0518 +0.0540 +0.0653 +0.0427 | +0.0499 +0.0499 +0.1107 -0.0107 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.0470  0.0391 | +0.0492 +0.0557 +0.0466 +0.1074 | +0.0362 +0.0430 +0.0464 +0.0669 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4273 | +0.1179 +0.1179     -       -   | +0.0201 +0.0201     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.4345  0.4277 | +0.1270 +0.1278     -       -   | +0.1036 +0.1035     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.4344  0.4276 | +0.1268 +0.1267     -       -   | +0.1037 +0.1037     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-aa0ee5ea92534c3fd/packages/calibration/results/2026-09-08-w23-collapsed-rim/g0/ladder/dark-levelgain-2x.json
