== apple-macos-26.5-1x-light-reduced-transparency / css / after   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/.claude/jobs/5c70e47f/tmp/w25/g3/dryrun/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.8880  0.0783  0.0705  0.0548  0.0683  0.0795  0.0663  0.0592  0.0681  0.0772  0.0621  0.0636  0.0672  0.0475  0.0646  0.0809  0.0634    1.70      NW  0.587
checkerboard__capsule-button__rest       calibration web     0.9306  0.0131  0.0159 -0.0157  0.0195  0.0163 -0.0369 -0.0333  0.0056  0.0214  0.0117  0.0304  0.0339 -0.0212 -0.0203  0.0303 -0.0045     inf     WSW -1.089
photo__capsule-button__rest              calibration native  0.8917  0.0683  0.0523  0.0530  0.0572  0.0443  0.0580  0.0556  0.0566  0.0685  0.0530  0.0489  0.0585  0.0463  0.0590  0.0588  0.0561    1.54       S  0.647
photo__capsule-button__rest              calibration web     0.8926  0.0163  0.0118  0.0215  0.0264  0.0184  0.0179  0.0256  0.0214  0.0196 -0.0007 -0.0014 -0.0060 -0.0055 -0.0053 -0.0073 -0.0092     inf     ENE -0.348
checkerboard__rrect-md__rest             calibration native  0.8880  0.0815  0.0694  0.0634  0.0583  0.0760  0.0673  0.0787  0.0776  0.0800  0.0549  0.0630  0.0608  0.0753  0.0829  0.0808  0.0611    1.51     WNW  0.661
checkerboard__rrect-md__rest             calibration web     0.9332  0.0144  0.0152 -0.0089 -0.0129  0.0137  0.0036  0.0298  0.0250  0.0093 -0.0332 -0.0418 -0.0030  0.0058  0.0290  0.0206 -0.0022     inf      SE -1.401
photo__rrect-md__rest                    calibration native  0.8921  0.0705  0.0522  0.0604  0.0543  0.0612  0.0550  0.0671  0.0536  0.0684  0.0412  0.0467  0.0422  0.0585  0.0534  0.0603  0.0520    1.71       N  0.584
photo__rrect-md__rest                    calibration web     0.8959  0.0091 -0.0016  0.0049  0.0120  0.0336  0.0038 -0.0052 -0.0030  0.0154 -0.0062 -0.0034  0.0004  0.0076 -0.0164 -0.0167 -0.0165     inf       E -0.498
photo__capsule-button__rest-tint-orange  calibration native  0.4091  0.1438  0.0514  0.0226  0.0866  0.1582  0.1799  0.2191  0.1824  0.1459  0.0515  0.0123  0.0509  0.1392  0.1361  0.1296  0.1312   17.85      SE  0.056
photo__capsule-button__rest-tint-orange  calibration web     0.4138  0.0216  0.0268  0.0264  0.0175  0.0018  0.0021  0.0003  0.0023  0.0191  0.0157  0.0210  0.0282  0.0279  0.0238  0.0167  0.0205  107.74     WSW  0.009

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-reduced-transparency-css-after-angular.json
