== apple-macos-26.5-1x-light-increased-contrast / webgpu / before   fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
   window: 1.0 CSS px outside … 4.0 CSS px inside, erode 6.0, bins 16 × 22.5° centred on the compass
scene                                    set         src       body       N     NNE      NE     ENE       E     ESE      SE     SSE       S     SSW      SW     WSW       W     WNW      NW     NNW   ratio  bright  floor
checkerboard__capsule-button__rest       calibration native  0.9783  0.0087  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0129  0.0086 -0.0039 -0.0150 -0.0138 -0.0155 -0.0145 -0.0148 -0.0010     inf     NNE -1.208
checkerboard__capsule-button__rest       calibration web     0.9324  0.0675  0.0668  0.0676  0.0676  0.0676  0.0655  0.0656  0.0671  0.0676  0.0676  0.0676  0.0676  0.0676  0.0651  0.0676  0.0676    1.04      NE  0.963
photo__capsule-button__rest              calibration native  0.9820  0.0066 -0.0041 -0.0089 -0.0104 -0.0119 -0.0108 -0.0102 -0.0059  0.0063  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091  0.0091     inf     SSW -1.300
photo__capsule-button__rest              calibration web     0.8936  0.1063  0.1049  0.1060  0.1059  0.1064  0.1055  0.1050  0.1058  0.1064  0.1060  0.1033  0.1064  0.1064  0.1052  0.1059  0.1044    1.03       S  0.971
checkerboard__rrect-md__rest             calibration native  0.9853  0.0030 -0.0147 -0.0090 -0.0186 -0.0086 -0.0178 -0.0115 -0.0152  0.0030  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058  0.0058     inf     SSW -3.226
checkerboard__rrect-md__rest             calibration web     0.9331  0.0669  0.0669  0.0620  0.0669  0.0669  0.0669  0.0669  0.0669  0.0669  0.0666  0.0637  0.0669  0.0669  0.0669  0.0669  0.0669    1.08       N  0.927
photo__rrect-md__rest                    calibration native  0.9915 -0.0013 -0.0099 -0.0104 -0.0109 -0.0067 -0.0059 -0.0052 -0.0041 -0.0014 -0.0034 -0.0047 -0.0028 -0.0013 -0.0004 -0.0004 -0.0004     inf     WNW 26.029
photo__rrect-md__rest                    calibration web     0.8958  0.1041  0.1042  0.1006  0.1042  0.1041  0.1042  0.1012  0.1030  0.1042  0.1042  0.1001  0.1042  0.1041  0.1042  0.0952  0.1042    1.09     NNE  0.914
checkerboard__capsule-button__rest-tint-orange calibration native  0.4217  0.0265  0.2808  0.0027  0.3059  0.0455  0.0027  0.0027  0.0801  0.2149  0.2708  0.2531  0.3124  0.0184  0.0550  0.2747  0.1315  116.79     WSW  0.009
checkerboard__capsule-button__rest-tint-orange calibration web     0.4263  0.4538  0.4598  0.3198  0.5299  0.4944  0.2621  0.3089  0.3128  0.4242  0.5076  0.5349  0.5252  0.3192  0.2954  0.5549  0.3660    2.12      NW  0.472
photo__capsule-button__rest-tint-orange  calibration native  0.4222  0.0018  0.0002 -0.0023  0.0073 -0.0021 -0.0022  0.0159  0.0031  0.0018  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022  0.0022     inf      SE -0.142
photo__capsule-button__rest-tint-orange  calibration web     0.4231  0.4117  0.3179  0.3400  0.3730  0.4366  0.3691  0.3791  0.3784  0.4142  0.3138  0.3215  0.3169  0.3781  0.3120  0.3229  0.2932    1.49       E  0.672

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/agent-a60d759ed0e4373f6/packages/calibration/results/2026-09-09-w25-thick-span-composite/g3/canonical-reads/apple-macos-26.5-1x-light-increased-contrast-webgpu-before-angular.json
