== apple-macos-26.5-1x-light-standard / css  fixtures=/Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/apps/reference-apple/fixtures captures=/Users/new/Developer/GitHub/designer/packages/calibration/web-captures
scene                                        set           bodyN   bodyW |                  rim native T/B/L/R |                     rim web T/B/L/R | clipN
light-solid__capsule-button__rest            calibration  0.9668  0.9666 | +0.0582 +0.0582     -       -   | +0.0163 +0.0000     -       -   |  1.00  1.00   -     -  
dark-solid__capsule-button__rest             calibration  0.0110  0.0117 | +0.0200 +0.0200     -       -   | +0.0000 +0.0000     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest           calibration  0.6133  0.6735 | +0.1930 +0.1876     -       -   | +0.1013 +0.0079     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest                validation   0.0066  0.0037 | +0.0166 +0.0158     -       -   | +0.0000 +0.0000     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest                  calibration  0.5766  0.6125 | +0.1404 +0.1428     -       -   | +0.0840 -0.0244     -       -   |  0.00  0.00   -     -  
hc-text__capsule-button__rest                holdout      0.6576  0.7401 | +0.1019 +0.0659     -       -   | +0.3734 +0.3031     -       -   |  0.00  0.00   -     -  
light-solid__rrect-md__rest                  calibration  0.9345  0.9326 | +0.1002 +0.1002 +0.1002 +0.1002 | +0.0166 -0.0000 +0.0166 -0.0000 |  1.00  1.00  1.00  1.00
dark-solid__rrect-md__rest                   calibration  0.4798  0.4953 | +0.2293 +0.2293 +0.2305 +0.2305 | +0.1576 +0.0031 +0.1574 +0.0030 |  0.00  0.00  0.00  0.00
checkerboard__rrect-md__rest                 calibration  0.6792  0.6938 | +0.1763 +0.1737 +0.2358 +0.1129 | +0.0985 -0.0020 +0.0967 +0.0050 |  0.00  0.00  0.00  0.00
impulse__rrect-md__rest                      validation   0.4311  0.4668 | +0.2400 +0.2429 +0.2380 +0.2380 | +0.1509 +0.0015 +0.1510 +0.0016 |  0.00  0.00  0.00  0.00
photo__rrect-md__rest                        calibration  0.6610  0.6517 | +0.1056 +0.1256 +0.1567 +0.2338 | +0.0492 -0.0129 +0.0766 +0.2127 |  0.00  0.00  0.00  0.00
hc-text__rrect-md__rest                      holdout      0.7288  0.7549 | +0.1331 +0.2098 +0.1723 +0.2381 | +0.2173 +0.0555 +0.0231 +0.2177 |  0.00  0.00  0.00  0.00
light-solid__rrect-ml__rest                  calibration  0.9326  0.9325 | +0.1021 +0.1021 +0.1021 +0.1021 | +0.0168 +0.0002 +0.0168 +0.0002 |  1.00  1.00  1.00  1.00
checkerboard__rrect-ml__rest                 calibration  0.6906  0.6934 | +0.1741 +0.1736 +0.1806 +0.1669 | +0.0982 -0.0014 +0.0624 +0.0253 |  0.00  0.00  0.00  0.00
photo__rrect-ml__rest                        calibration  0.6707  0.6543 | +0.0979 +0.1329 +0.1551 +0.2955 | +0.0362 -0.0443 +0.0891 +0.1612 |  0.00  0.00  0.00  0.00
checkerboard__rrect-sm__rest                 calibration  0.6149  0.6750 | +0.1888 +0.1792 +0.1030 +0.2829 | +0.0985 -0.0012 -0.2034 +0.1530 |  0.00  0.00  0.00  0.00
photo__rrect-sm__rest                        validation   0.5411  0.5911 | +0.1882 +0.1828 +0.1843 +0.2300 | +0.1269 -0.0078 +0.1541 +0.0493 |  0.00  0.00  0.00  0.00
checkerboard__rrect-lg__rest                 holdout      0.7037  0.6951 | +0.1719 +0.1713 +0.1563 +0.1859 | +0.0981 -0.0043 +0.0668 +0.0283 |  0.00  0.00  0.00  0.00
photo__rrect-lg__rest                        holdout      0.6830  0.6529 | +0.0549 +0.1084 +0.1477 +0.2659 | +0.0375 -0.0555 +0.2097 +0.1655 |  0.00  0.00  0.00  0.00
mid-dark-solid__capsule-button__rest         holdout      0.4399  0.4633 | +0.2421 +0.2421     -       -   | +0.1719 +0.0089     -       -   |  0.00  0.00   -     -  
dark-solid__capsule-button__rest-tint-orange calibration  0.4243  0.4275 | +0.1149 +0.1149     -       -   | +0.0002 +0.0002     -       -   |  0.00  0.00   -     -  
impulse__capsule-button__rest-tint-orange    calibration  0.4242  0.4275 | +0.1150 +0.1150     -       -   | +0.0002 +0.0002     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-orange calibration  0.3519  0.3666 | +0.1684 +0.1687     -       -   | +0.1594 -0.0003     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange      calibration  0.3441  0.3556 | +0.1618 +0.1610     -       -   | +0.1629 -0.0001     -       -   |  0.00  0.00   -     -  
light-solid__capsule-button__rest-tint-orange calibration  0.4229  0.4277 | +0.1414 +0.1414     -       -   | +0.1434 -0.0003     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-blue        calibration  0.1908  0.1973 | +0.2115 +0.2112     -       -   | +0.1711 -0.0002     -       -   |  0.00  0.00   -     -  
photo__capsule-button__rest-tint-orange-half calibration  0.4303  0.4529 | +0.1644 +0.1648     -       -   | +0.1438 -0.0051     -       -   |  0.00  0.00   -     -  
checkerboard__capsule-button__rest-tint-blue validation   0.1950  0.2041 | +0.2167 +0.2163     -       -   | +0.1734 -0.0003     -       -   |  0.00  0.00   -     -  
photo__rrect-md__rest-tint-orange            validation   0.3607  0.3618 | +0.1583 +0.1610 +0.1690 +0.1846 | +0.1585 -0.0000 +0.1585 -0.0000 |  0.00  0.00  0.00  0.00
hc-text__capsule-button__rest-tint-orange    holdout      0.3616  0.3973 | +0.1503 +0.1393     -       -   | +0.1520 -0.0001     -       -   |  0.00  0.00   -     -  
photo__rrect-lg__rest-tint-orange            holdout      0.3648  0.3615 | +0.1482 +0.1577 +0.1671 +0.1918 | +0.1591 +0.0006 +0.1591 +0.0006 |  0.00  0.00  0.00  0.00
dark-solid__capsule-button__rest-tint-blue   holdout      0.2351  0.2378 | +0.1758 +0.1758     -       -   | +0.0001 +0.0001     -       -   |  0.00  0.00   -     -  

-> /Users/new/Developer/GitHub/designer/.claude/worktrees/w23-g1/packages/calibration/results/2026-09-08-w23-collapsed-rim/g3/canonical-reads/apple-macos-26.5-1x-light-standard-css-before.json
